dbkey,tmaxZeroZone,hastargetcl,caplettersworddif,urlsim,sWordRatio,onlycaplettersdif,category,hastargettag,nwordstarget,nersimilarity,hastargetnumber,same,langdif,sPositiveZoneRatio,hassourcenumber,numbersim,hastargetemail,hastargetnameentity,hassourceemail,hastargetpunctuation,cgscore,tagsim,hassourcenameentity,emailsim,tmaxOneZone,sNegativeZoneRatio,hastargeturl,hassourcecl,tWordRatio,smaxZeroZone,hassourcetag,hassourcepunctuation,punctsim,nwordssource,smaxOneZone,tPositiveZoneRatio,tNegativeZoneRatio,hassourceurl
10-10,0.0,1.0,0.0689655172414,1.0,0.73,0.0689655172414,1,0.0,117,0.0,1.0,0.0,0.0,0.67,1.0,1.0,0.0,1.0,0.0,0.0,0.98,1.0,1.0,1.0,1.0,0.33,0.0,1.0,1.0,0.27,0.0,0.0,1.0,91,0.64,1.0,0.0,0.0
11-11,0.0,0.0,0.0,1.0,1.0,0.0,1,0.0,18,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,18,1.0,1.0,0.0,0.0
12-12,0.03,1.0,0.269230769231,1.0,0.46,0.0,0,0.0,105,0.461880215352,0.0,0.0,0.0,0.53,0.0,1.0,0.0,1.0,0.0,0.0,3.55,1.0,1.0,1.0,0.57,0.47,0.0,1.0,0.97,0.15,0.0,0.0,0.96,241,0.13,0.67,0.33,0.0
13-13,0.06,1.0,0.0833333333333,1.0,1.0,0.0,1,0.0,199,0.25,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.83,1.0,1.0,1.0,0.55,0.0,0.0,1.0,0.94,0.0,0.0,0.0,1.0,170,1.0,0.67,0.33,0.0
14-14,0.0,0.0,0.5,1.0,0.03,0.0,0,0.0,3,0.0,1.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,9.66,1.0,1.0,1.0,1.0,0.5,0.0,1.0,1.0,0.97,0.0,0.0,0.58,388,0.03,1.0,0.0,0.0
15-15,0.05,1.0,0.4,1.0,0.94,0.0,1,0.0,107,0.0,1.0,0.0,0.0,0.67,1.0,1.0,0.0,1.0,0.0,0.0,0.42,1.0,1.0,1.0,0.5,0.33,0.0,1.0,0.9,0.06,0.0,0.0,1.0,107,0.56,0.6,0.4,0.0
16-16,0.0,1.0,0.5,1.0,0.13,0.666666666667,0,0.0,54,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,1.0,0.0,0.0,6.71,1.0,1.0,1.0,1.0,0.5,0.0,1.0,1.0,0.67,0.0,0.0,0.0,307,0.08,1.0,0.0,0.0
17-17,0.0,1.0,0.0,1.0,1.0,0.0,1,0.0,42,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.61,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,33,1.0,1.0,0.0,0.0
18-18,0.0,1.0,0.125,1.0,0.97,0.0,1,0.0,235,0.0,0.0,0.0,0.0,0.67,0.0,1.0,0.0,1.0,0.0,0.0,1.78,1.0,1.0,1.0,1.0,0.33,0.0,1.0,1.0,0.03,0.0,0.0,1.0,170,0.76,1.0,0.0,0.0
19-19,0.0,1.0,0.1,1.0,1.0,0.0,1,0.0,135,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.36,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,128,1.0,1.0,0.0,0.0
20-20,0.13,1.0,0.166666666667,1.0,0.93,0.0,1,0.0,93,0.0,0.0,0.0,0.0,0.67,0.0,1.0,0.0,1.0,0.0,0.0,0.31,1.0,1.0,1.0,0.4,0.33,0.0,1.0,0.8,0.07,0.0,0.0,1.0,84,0.57,0.6,0.4,0.0
21-21,0.09,1.0,0.0,1.0,0.95,0.0,1,0.0,125,0.0,1.0,0.0,0.0,0.67,1.0,1.0,0.0,1.0,0.0,0.0,0.15,1.0,1.0,1.0,0.5,0.33,0.0,1.0,0.86,0.05,0.0,0.0,1.0,121,0.62,0.6,0.4,0.0
22-22,0.04,1.0,0.0714285714286,1.0,0.93,0.0,1,0.0,246,0.0,1.0,0.0,0.0,0.6,1.0,1.0,0.0,1.0,0.0,0.0,0.54,1.0,1.0,1.0,0.16,0.4,0.0,1.0,0.82,0.05,0.0,0.0,1.0,224,0.55,0.53,0.47,0.0
23-23,0.04,1.0,0.0833333333333,1.0,0.85,0.0,1,0.0,274,0.0,0.0,0.0,0.0,0.56,0.0,1.0,0.0,1.0,0.0,0.0,0.13,1.0,1.0,1.0,0.18,0.44,0.0,1.0,0.8,0.07,0.0,0.0,1.0,278,0.49,0.53,0.47,0.0
24-24,0.0,1.0,0.0,1.0,1.0,0.0,1,0.0,46,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.72,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,33,1.0,1.0,0.0,0.0
25-25,0.0,1.0,0.0,1.0,1.0,0.0,1,0.0,33,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.14,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,31,1.0,1.0,0.0,0.0
26-26,0.0,1.0,0.0,1.0,1.0,0.0,1,0.0,30,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.22,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,33,1.0,1.0,0.0,0.0
27-27,0.4,0.0,0.0,1.0,0.5,0.0,0,0.0,28,1.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.88,1.0,0.0,1.0,0.6,0.5,0.0,0.0,0.6,0.5,0.0,0.0,1.0,17,0.5,0.5,0.5,0.0
28-28,0.0,0.0,0.5,1.0,0.94,0.0,0,0.0,61,0.0,0.0,0.0,0.0,0.67,0.0,1.0,0.0,0.0,0.0,0.0,0.51,1.0,1.0,1.0,1.0,0.33,0.0,1.0,1.0,0.06,0.0,0.0,1.0,75,0.76,1.0,0.0,0.0
29-29,0.0,1.0,0.0,1.0,1.0,0.0,1,0.0,59,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.77,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,43,1.0,1.0,0.0,0.0
30-30,0.15,1.0,0.0,1.0,0.95,0.0,1,0.0,171,0.0,1.0,0.0,0.0,0.67,1.0,1.0,0.0,1.0,0.0,0.0,1.43,1.0,1.0,1.0,0.26,0.33,0.0,1.0,0.67,0.05,0.0,0.0,1.0,124,0.82,0.56,0.44,0.0
31-31,0.0,1.0,0.125,1.0,1.0,0.0,1,0.0,74,0.5,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.05,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,75,1.0,1.0,0.0,1.0
32-32,0.0,1.0,0.0,1.0,1.0,0.0,1,0.0,82,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.35,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,91,1.0,1.0,0.0,0.0
33-33,0.11,1.0,0.0,1.0,0.9,0.0,1,0.0,38,1.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.44,0.5,0.0,1.0,0.89,0.1,0.0,0.0,1.0,41,0.9,0.67,0.33,0.0
34-34,0.16,1.0,0.173913043478,1.0,0.78,0.0,0,0.0,91,0.288675134595,1.0,0.0,0.0,0.6,0.0,0.0,0.0,1.0,0.0,0.0,1.85,1.0,1.0,1.0,0.74,0.4,0.0,1.0,0.84,0.17,0.0,0.0,0.97,144,0.43,0.67,0.33,0.0
35-35,0.11,1.0,0.0,1.0,1.0,0.0,1,0.0,123,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.38,1.0,1.0,1.0,0.84,0.0,0.0,1.0,0.89,0.0,0.0,0.0,1.0,110,1.0,0.67,0.33,0.0
36-36,0.1,1.0,0.25,1.0,0.95,0.0,0,0.0,182,0.0,0.0,0.0,0.0,0.67,0.0,1.0,0.0,1.0,0.0,0.0,1.13,1.0,1.0,1.0,0.19,0.33,0.0,1.0,0.77,0.05,0.0,0.0,0.95,142,0.86,0.56,0.44,0.0
37-37,0.05,1.0,0.0,1.0,0.86,0.0,1,0.0,392,0.0,1.0,0.0,0.0,0.53,1.0,1.0,0.0,1.0,0.0,0.0,0.89,1.0,1.0,1.0,0.27,0.47,0.0,1.0,0.84,0.03,0.0,0.0,0.99,348,0.34,0.53,0.47,0.0
38-38,0.15,1.0,0.0,1.0,0.89,0.0,1,0.0,102,0.0,0.0,0.0,0.0,0.6,0.0,1.0,0.0,1.0,0.0,0.0,0.89,1.0,1.0,1.0,0.8,0.4,0.0,1.0,0.85,0.05,0.0,0.0,0.95,80,0.79,0.67,0.33,0.0
39-39,0.0,1.0,0.0487804878049,1.0,0.97,0.0,1,0.0,190,0.36514837167,1.0,0.0,0.0,0.67,1.0,1.0,0.0,1.0,0.0,0.0,0.26,1.0,1.0,1.0,1.0,0.33,0.0,1.0,1.0,0.03,0.0,0.0,0.99,183,0.76,1.0,0.0,0.0
40-40,0.05,0.0,0.0,1.0,0.9,0.0,1,0.0,108,1.0,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.65,1.0,0.0,1.0,0.86,0.5,1.0,0.0,0.9,0.05,0.0,0.0,1.0,92,0.85,0.5,0.5,1.0
41-41,0.04,1.0,0.0714285714286,1.0,0.93,0.0,1,0.0,310,0.0,0.0,0.0,0.0,0.57,0.0,1.0,0.0,1.0,0.0,0.0,0.95,1.0,1.0,1.0,0.52,0.43,0.0,1.0,0.96,0.02,0.0,0.0,1.0,268,0.41,0.67,0.33,0.0
42-42,0.0,1.0,0.0,1.0,1.0,0.666666666667,0,0.0,15,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.11,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,14,1.0,1.0,0.0,0.0
43-43,0.04,1.0,0.0,1.0,0.9,0.0,1,0.0,262,1.0,1.0,0.0,0.0,0.56,1.0,0.89,0.0,1.0,0.0,0.0,1.97,1.0,1.0,1.0,0.29,0.44,0.0,1.0,0.85,0.02,0.0,0.0,1.0,181,0.29,0.54,0.46,0.0
44-44,0.0,1.0,0.105263157895,1.0,0.73,0.105263157895,1,0.0,87,0.0,1.0,0.0,0.0,0.5,1.0,1.0,0.0,1.0,0.0,0.0,1.05,1.0,1.0,1.0,1.0,0.5,0.0,1.0,1.0,0.27,0.0,0.0,1.0,63,0.73,1.0,0.0,0.0
45-45,0.0,0.0,0.0,1.0,1.0,0.0,1,0.0,20,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.28,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,17,1.0,1.0,0.0,0.0
46-46,0.0,1.0,0.0,1.0,1.0,0.0,1,0.0,58,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.4,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,50,1.0,1.0,0.0,0.0
47-47,0.05,1.0,0.05,1.0,0.97,0.0,1,0.0,406,0.333333333333,0.0,0.0,0.0,0.6,0.0,1.0,0.0,1.0,0.0,0.0,1.02,1.0,1.0,1.0,0.2,0.4,0.0,1.0,0.85,0.02,0.0,0.0,0.99,352,0.69,0.53,0.47,0.0
48-48,0.04,1.0,0.0,1.0,0.92,0.0,1,0.0,109,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.7,1.0,1.0,1.0,0.65,0.5,0.0,1.0,0.96,0.04,0.0,0.0,0.71,130,0.81,0.67,0.33,0.0
49-49,0.13,1.0,0.25,1.0,0.17,0.5,0,0.0,40,0.0,1.0,0.0,0.0,0.47,1.0,0.0,0.0,1.0,0.0,0.0,5.39,1.0,1.0,1.0,0.88,0.53,0.0,1.0,0.88,0.35,0.0,0.0,0.0,213,0.03,0.5,0.5,0.0
50-50,0.03,1.0,0.15,1.0,0.38,0.0,0,0.0,126,0.338061701891,0.0,0.0,1.0,0.52,1.0,0.0,0.0,1.0,0.0,0.0,5.11,1.0,1.0,1.0,0.39,0.48,0.0,1.0,0.87,0.13,0.0,0.0,0.85,347,0.04,0.56,0.44,0.0
51-51,0.06,1.0,0.0,1.0,0.75,0.0,0,0.0,85,0.0,1.0,0.0,0.0,0.67,1.0,1.0,0.0,1.0,0.0,0.0,0.35,1.0,1.0,1.0,0.53,0.33,0.0,1.0,0.94,0.25,0.0,0.0,1.0,97,0.7,0.67,0.33,0.0
52-52,0.0,1.0,0.0,1.0,0.86,0.0,1,0.0,79,0.0,0.0,0.0,0.0,0.6,0.0,1.0,0.0,1.0,0.0,0.0,0.48,1.0,1.0,1.0,1.0,0.4,0.0,1.0,1.0,0.07,0.0,0.0,1.0,69,0.71,1.0,0.0,0.0
53-53,0.0,1.0,0.25,1.0,1.0,0.0,1,0.0,25,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.27,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,23,1.0,1.0,0.0,0.0
54-54,0.0,0.0,0.75,1.0,0.67,0.0,1,0.0,24,0.0,0.0,0.0,0.0,0.67,0.0,1.0,0.0,0.0,0.0,0.0,0.16,1.0,1.0,1.0,1.0,0.33,0.0,1.0,1.0,0.33,0.0,0.0,1.0,29,0.5,1.0,0.0,0.0
55-55,0.0,1.0,0.0,1.0,1.0,0.0,1,0.0,58,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.22,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,53,1.0,1.0,0.0,0.0
56-56,0.07,1.0,0.166666666667,1.0,0.96,0.0,1,0.0,190,0.0,0.0,0.0,0.0,0.67,0.0,1.0,0.0,1.0,0.0,0.0,1.18,1.0,1.0,1.0,0.33,0.33,0.0,1.0,0.8,0.04,0.0,0.0,1.0,146,0.57,0.56,0.44,0.0
57-57,0.04,1.0,0.0,1.0,1.0,0.0,1,0.0,331,0.333333333333,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.22,1.0,1.0,1.0,0.52,0.0,0.0,1.0,0.89,0.0,0.0,0.0,1.0,228,1.0,0.55,0.45,0.0
58-58,0.0,1.0,0.0,1.0,1.0,0.0,1,0.0,47,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,38,1.0,1.0,0.0,0.0
59-59,0.0,1.0,0.5,1.0,0.75,0.0,1,0.0,17,0.0,1.0,0.0,0.0,0.67,1.0,1.0,0.0,1.0,0.0,0.0,0.33,1.0,0.0,1.0,1.0,0.33,0.0,0.0,1.0,0.25,0.0,0.0,1.0,13,0.5,1.0,0.0,0.0
60-60,0.13,0.0,0.0,1.0,1.0,0.0,0,0.0,36,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3,1.0,0.0,1.0,0.75,0.0,0.0,0.0,0.88,0.0,0.0,0.0,1.0,30,1.0,0.67,0.33,0.0
61-61,0.1,1.0,0.0,1.0,0.82,0.0,1,0.0,58,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.21,1.0,1.0,1.0,0.7,0.5,0.0,1.0,0.9,0.09,0.0,0.0,1.0,63,0.73,0.67,0.33,0.0
62-62,0.09,1.0,0.25,1.0,0.84,0.0,1,0.0,201,0.707106781187,1.0,0.0,0.0,0.57,1.0,1.0,0.0,1.0,0.0,0.0,1.35,1.0,1.0,1.0,0.58,0.43,0.0,1.0,0.85,0.08,0.0,0.0,0.71,150,0.44,0.57,0.43,0.0
63-63,0.0,0.0,0.0,1.0,1.0,0.0,1,0.0,32,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.74,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,45,1.0,1.0,0.0,0.0
64-64,0.04,1.0,0.0,1.0,0.91,0.0,1,0.0,245,1.0,1.0,0.0,0.0,0.56,1.0,1.0,0.0,1.0,0.0,0.0,0.47,1.0,1.0,1.0,0.3,0.44,0.0,1.0,0.83,0.02,0.0,0.0,1.0,224,0.33,0.54,0.46,0.0
65-65,0.0,1.0,0.214285714286,1.0,0.4,0.153846153846,0,0.0,34,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,1.0,0.0,0.0,1.76,1.0,1.0,1.0,1.0,0.5,0.0,1.0,1.0,0.6,0.0,0.0,0.0,67,0.4,1.0,0.0,0.0
66-66,0.02,1.0,0.0,1.0,0.95,0.0,1,0.0,239,0.0,0.0,0.0,0.0,0.6,0.0,1.0,0.0,1.0,0.0,0.0,0.93,1.0,1.0,1.0,0.26,0.4,0.0,1.0,0.88,0.02,0.0,0.0,0.95,205,0.59,0.55,0.45,0.0
67-67,0.06,1.0,0.0,1.0,0.94,0.0,1,0.0,101,0.0,0.0,0.0,0.0,0.67,0.0,1.0,0.0,1.0,0.0,0.0,0.38,1.0,1.0,1.0,0.75,0.33,0.0,1.0,0.94,0.06,0.0,0.0,1.0,92,0.88,0.67,0.33,0.0
68-68,0.05,1.0,0.0,1.0,0.92,0.0,1,0.0,115,0.0,1.0,0.0,0.0,0.6,1.0,1.0,0.0,1.0,0.0,0.0,0.46,1.0,1.0,1.0,0.59,0.4,0.0,1.0,0.95,0.04,0.0,0.0,1.0,129,0.54,0.67,0.33,0.0
69-69,0.03,1.0,0.0,1.0,0.97,0.0,1,0.0,255,0.0,0.0,0.0,0.0,0.67,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.68,0.33,0.0,1.0,0.93,0.03,0.0,0.0,1.0,216,0.95,0.57,0.43,0.0
70-70,0.06,1.0,0.0,1.0,0.92,0.0,1,0.0,76,0.0,1.0,0.0,0.0,0.67,1.0,1.0,0.0,1.0,0.0,0.0,0.61,1.0,1.0,1.0,0.38,0.33,0.0,1.0,0.81,0.08,0.0,0.0,0.45,61,0.58,0.57,0.43,0.0
71-71,0.0,1.0,0.25,1.0,1.0,0.0,1,0.0,29,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,29,1.0,1.0,0.0,0.0
72-72,0.07,1.0,0.0,1.0,0.95,0.0,1,0.0,176,0.0,1.0,0.0,0.0,0.67,1.0,1.0,0.0,1.0,0.0,0.0,0.85,1.0,1.0,1.0,0.31,0.33,0.0,1.0,0.76,0.05,0.0,0.0,1.0,143,0.64,0.54,0.46,0.0
73-73,0.05,0.0,0.0,1.0,1.0,0.0,1,0.0,83,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.34,1.0,0.0,1.0,0.32,0.0,0.0,0.0,0.79,0.0,0.0,0.0,0.5,71,1.0,0.5,0.5,0.0
74-74,0.0,1.0,0.5,1.0,0.44,0.0,0,0.0,30,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,1.0,0.0,0.0,1.15,1.0,0.0,1.0,1.0,0.5,0.0,0.0,1.0,0.33,0.0,0.0,1.0,53,0.22,1.0,0.0,0.0
75-75,0.09,1.0,0.0,1.0,0.97,0.5,1,0.0,215,0.0,0.0,0.0,0.0,0.67,0.0,1.0,0.0,1.0,0.0,0.0,0.46,1.0,1.0,1.0,0.24,0.33,0.0,1.0,0.76,0.03,0.0,0.0,1.0,197,0.72,0.54,0.46,0.0
76-76,0.5,0.0,0.5,1.0,0.83,0.0,0,0.0,33,0.0,0.0,0.0,0.0,0.67,0.0,1.0,0.0,0.0,0.0,0.0,0.78,1.0,1.0,1.0,0.33,0.33,0.0,1.0,0.5,0.17,0.0,0.0,1.0,24,0.5,0.67,0.33,0.0
77-77,0.06,1.0,0.0714285714286,1.0,0.88,0.5,1,0.0,214,0.0,0.0,0.0,0.0,0.57,0.0,1.0,0.0,1.0,0.0,0.0,0.23,1.0,1.0,1.0,0.65,0.43,0.0,1.0,0.88,0.06,0.0,0.0,1.0,206,0.65,0.5,0.5,0.0
78-78,0.1,1.0,0.0714285714286,1.0,0.76,0.5,0,0.0,192,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.35,1.0,1.0,1.0,0.42,0.5,0.0,1.0,0.81,0.09,0.0,0.0,0.97,206,0.35,0.5,0.5,0.0
79-79,0.05,1.0,0.0,1.0,0.94,0.0,1,0.0,127,0.0,0.0,0.0,0.0,0.67,0.0,1.0,0.0,1.0,0.0,0.0,1.07,1.0,1.0,1.0,0.7,0.33,0.0,1.0,0.95,0.06,0.0,0.0,1.0,98,0.78,0.67,0.33,0.0
80-80,0.0,1.0,0.0,1.0,1.0,0.0,1,0.0,32,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,34,1.0,1.0,0.0,0.0
81-81,0.04,0.0,0.0,1.0,0.85,0.0,1,0.0,338,1.0,0.0,0.0,0.0,0.54,0.0,1.0,0.0,0.0,0.0,0.0,0.09,1.0,0.0,1.0,0.17,0.46,0.0,0.0,0.81,0.04,0.0,0.0,0.91,344,0.23,0.53,0.47,0.0
82-82,0.17,1.0,0.5,1.0,0.83,0.0,0,0.0,32,0.0,0.0,0.0,1.0,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.41,1.0,0.0,1.0,0.83,0.5,0.0,0.0,0.83,0.17,0.0,0.0,1.0,39,0.83,0.5,0.5,0.0
83-83,0.4,0.0,0.0,1.0,0.5,0.0,0,0.0,22,1.0,0.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.09,1.0,0.0,1.0,0.6,0.5,0.0,0.0,0.6,0.5,0.0,0.0,1.0,20,0.5,0.5,0.5,0.0
84-84,0.0,1.0,0.0,1.0,0.83,0.0,1,0.0,41,1.0,0.0,0.0,0.0,0.67,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.33,0.0,1.0,1.0,0.17,0.0,0.0,1.0,42,0.5,1.0,0.0,0.0
85-85,0.0,1.0,0.0,1.0,1.0,0.0,1,0.0,65,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.27,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,60,1.0,1.0,0.0,0.0
86-86,0.0,1.0,0.0,1.0,1.0,0.0,1,0.0,138,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.29,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,130,1.0,1.0,0.0,0.0
87-87,0.0,1.0,0.0,1.0,1.0,0.0,1,0.0,38,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.28,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,33,1.0,1.0,0.0,0.0
