dbkey,hastargetcl,simscore,caplettersworddif,urlsim,onlycaplettersdif,category,hastargettag,nwordstarget,nersimilarity,hastargetnumber,same,langdif,hassourcenumber,numbersim,hastargetemail,hastargetnameentity,hassourceemail,hastargetpunctuation,cgscore,tagsim,hassourcenameentity,emailsim,hastargeturl,hassourcecl,hassourcetag,hassourcepunctuation,punctsim,nwordssource,hassourceurl
18-18,1.0,0.63,0.0,1.0,0.0,1,0.0,39,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.96,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,57,0.0
19-19,1.0,0.85,0.0,1.0,0.0,1,0.0,103,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.21,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,98,0.0
20-20,1.0,0.76,0.0,1.0,0.0,1,0.0,62,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,62,0.0
21-21,1.0,0.83,0.0,1.0,0.0,1,0.0,163,0.353553390593,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.4,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.71,147,0.0
22-22,0.0,0.34,0.0,1.0,0.0,1,0.0,52,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,27,0.0
23-23,1.0,1.0,0.5625,1.0,0.0,1,0.0,241,0.277350098113,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.3,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,189,0.0
24-24,1.0,0.73,0.0,1.0,0.0,1,0.0,92,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.13,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,89,0.0
25-25,1.0,0.46,0.0,1.0,0.0,1,0.0,79,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.09,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,76,0.0
26-26,1.0,0.74,0.0,1.0,0.0,1,0.0,96,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.61,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,82,0.0
27-27,1.0,0.85,0.0,1.0,0.0,1,0.0,157,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.24,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.82,115,0.0
28-28,1.0,1.0,0.0,1.0,0.0,1,0.0,34,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.35,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,29,0.0
29-29,1.0,0.86,0.0,1.0,0.0,1,0.0,180,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,164,0.0
30-30,1.0,0.9,0.0,1.0,0.0,1,0.0,39,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.07,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,37,0.0
31-31,1.0,0.77,0.0,1.0,0.0,1,0.0,100,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.21,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,94,0.0
32-32,1.0,0.55,0.25,1.0,0.0,1,0.0,40,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,39,0.0
33-33,1.0,0.86,0.0,1.0,0.0,1,0.0,226,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.52,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.52,199,0.0
34-34,1.0,1.0,0.0,1.0,0.0,1,0.0,27,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.08,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,26,0.0
35-35,0.0,0.57,0.0,1.0,0.0,1,0.0,26,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.93,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,14,0.0
36-36,1.0,0.9,0.0,1.0,0.0,1,0.0,79,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.09,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,82,0.0
37-37,1.0,0.85,0.0555555555556,1.0,0.0,1,0.0,236,0.338061701891,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.11,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.87,238,0.0
38-38,1.0,0.85,0.0,1.0,0.0,1,0.0,97,0.666666666667,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.35,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,88,0.0
39-39,1.0,0.56,0.25,1.0,0.0,1,0.0,177,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.65,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.45,155,0.0
40-40,1.0,0.71,0.0,1.0,0.0,1,0.0,154,0.5,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.48,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,104,0.0
41-41,1.0,0.83,0.0,1.0,0.0,1,0.0,263,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.19,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.86,213,0.0
42-42,1.0,0.81,0.0,1.0,0.0,1,0.0,163,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.17,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,156,0.0
43-43,1.0,0.89,0.0,1.0,0.0,1,0.0,111,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.36,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,100,0.0
44-44,0.0,0.76,0.0,1.0,0.0,1,0.0,31,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.22,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,27,0.0
45-45,1.0,0.76,0.0,1.0,0.0,1,0.0,44,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.53,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,54,0.0
46-46,1.0,0.65,0.0,1.0,0.0,1,0.0,127,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.22,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,134,0.0
47-47,1.0,0.8,0.0,1.0,0.0,1,0.0,122,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.35,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,112,0.0
48-48,1.0,0.54,0.166666666667,1.0,0.25,1,0.0,192,0.408248290464,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.84,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,160,0.0
49-49,1.0,1.0,0.0,1.0,0.0,1,0.0,35,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.14,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,39,0.0
50-50,0.0,1.0,0.0,1.0,0.0,1,0.0,20,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.19,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.51,22,0.0
51-51,1.0,0.86,0.0,1.0,0.0,1,0.0,179,0.5,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.99,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,145,0.0
52-52,1.0,0.79,0.0,1.0,0.0,1,0.0,94,0.333333333333,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.21,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,98,0.0
53-53,1.0,0.97,0.0,1.0,0.0,1,0.0,55,0.5,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5,55,0.0
54-54,1.0,0.83,0.0,1.0,0.0,1,0.0,91,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.26,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,83,0.0
55-55,1.0,0.93,0.0,1.0,0.0,1,0.0,109,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.83,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,89,0.0
56-56,1.0,1.0,0.0,1.0,0.0,1,0.0,23,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.08,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,22,0.0
57-57,1.0,0.92,0.0,1.0,0.0,1,0.0,155,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.17,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.8,147,0.0
58-58,1.0,0.87,0.0,1.0,0.0,1,0.0,37,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.41,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,31,0.0
59-59,1.0,0.68,0.0,1.0,0.0,1,0.0,154,0.5,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.14,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.8,157,0.0
60-60,1.0,0.73,0.0,1.0,0.0,1,0.0,67,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.1,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,68,0.0
61-61,1.0,0.84,0.0,1.0,0.0,1,0.0,138,0.333333333333,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.67,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,115,0.0
62-62,1.0,0.78,0.0,1.0,0.0,1,0.0,176,0.8,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.45,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,132,0.0
63-63,1.0,0.46,0.0,1.0,0.0,1,0.0,46,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.44,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,41,0.0
64-64,1.0,0.84,0.0,1.0,0.0,1,0.0,72,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,63,0.0
65-65,1.0,0.71,0.0625,1.0,0.0625,1,0.0,49,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.06,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,49,0.0
66-66,1.0,0.68,0.0,1.0,0.0,1,0.0,136,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.44,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,124,0.0
67-67,1.0,0.5,0.0,1.0,0.0,1,0.0,88,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.09,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,91,0.0
68-68,1.0,0.88,0.0,1.0,0.0,1,0.0,247,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.85,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.94,207,0.0
69-69,1.0,0.39,0.0,1.0,0.0,1,0.0,65,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.78,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,31,0.0
70-70,1.0,0.65,0.0,1.0,0.0,1,0.0,91,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.27,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,83,0.0
71-71,1.0,0.77,0.0,1.0,0.0,1,0.0,35,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.87,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,21,0.0
72-72,1.0,0.93,0.4,1.0,0.0,1,0.0,136,0.57735026919,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.25,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.99,127,0.0
73-73,1.0,0.89,0.0,1.0,0.0,1,0.0,99,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.75,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,80,0.0
74-74,1.0,0.74,0.0625,1.0,0.0625,1,0.0,56,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.29,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,50,0.0
75-75,1.0,0.77,0.0,1.0,0.0,1,0.0,60,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.1,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,58,0.0
76-76,1.0,0.6,0.0,1.0,0.0,1,0.0,74,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.91,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,56,0.0
77-77,1.0,0.94,0.0,1.0,0.0,1,0.0,170,0.5,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.52,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.71,154,0.0
78-78,1.0,0.29,0.0,1.0,0.0,1,0.0,96,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.08,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.71,92,0.0
79-79,1.0,0.84,0.0,1.0,0.0,1,0.0,54,0.666666666667,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.06,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,53,0.0
80-80,1.0,0.91,0.0,1.0,0.0,1,0.0,112,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.08,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.71,114,0.0
81-81,1.0,0.67,0.0,1.0,0.0,1,0.0,77,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.05,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,73,0.0
82-82,1.0,0.61,0.1,1.0,0.0,1,0.0,79,0.288675134595,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.58,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.96,45,0.0
83-83,1.0,0.8,0.0,1.0,0.0,1,0.0,61,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.1,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,63,0.0
84-84,1.0,0.7,0.0,1.0,0.0,1,0.0,139,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.62,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,121,0.0
85-85,1.0,0.74,0.0625,1.0,0.0625,1,0.0,53,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.06,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,53,0.0
86-86,1.0,0.94,0.25,1.0,0.0,1,0.0,63,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.72,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,49,0.0
87-87,1.0,0.86,0.0,1.0,0.0,1,0.0,167,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.23,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,159,0.0
88-88,1.0,0.77,0.0,1.0,0.0,1,0.0,84,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.67,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,70,0.0
89-89,1.0,0.75,0.0,1.0,0.0,1,0.0,25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.16,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,26,0.0
90-90,1.0,0.83,0.0,1.0,0.0,1,0.0,190,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.17,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.71,145,0.0
91-91,1.0,0.83,0.0,1.0,0.0,1,0.0,75,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.1,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,71,0.0
92-92,1.0,0.54,0.0,1.0,0.0,1,0.0,87,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.91,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,66,0.0
93-93,1.0,0.79,0.0,1.0,0.0,1,0.0,74,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.2,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,71,0.0
94-94,1.0,0.55,0.0,1.0,0.0,1,0.0,56,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.11,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.71,59,0.0
95-95,1.0,0.64,0.0,1.0,0.0,1,0.0,99,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.84,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,75,0.0
96-96,1.0,1.0,0.0,1.0,0.0,1,0.0,21,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.25,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,24,0.0
97-97,0.0,0.0,0.0,1.0,0.0,1,0.0,27,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.08,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,29,0.0
98-98,1.0,0.82,0.0,1.0,0.0,1,0.0,120,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.27,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,111,0.0
99-99,1.0,0.8,0.0625,1.0,0.0,1,0.0,57,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.69,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,44,0.0
100-100,1.0,0.72,0.0,1.0,0.0,1,0.0,92,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.71,90,0.0
101-101,1.0,0.61,0.0,1.0,0.0,1,0.0,130,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.49,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.71,142,0.0
102-102,1.0,1.0,0.0,1.0,0.0,1,0.0,25,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,25,0.0
103-103,1.0,0.83,0.0,1.0,0.0,1,0.0,90,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.46,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,77,0.0
104-104,1.0,0.6,0.0,1.0,0.0,1,0.0,187,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.44,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.98,173,0.0
105-105,1.0,1.0,0.0,1.0,0.0,1,0.0,29,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.64,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,21,0.0
106-106,1.0,0.87,0.0,1.0,0.0,1,0.0,156,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.41,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.71,140,0.0
107-107,1.0,0.26,0.0,1.0,0.0,1,0.0,71,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,73,0.0
108-108,0.0,0.51,0.0,1.0,0.0,1,0.0,48,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.77,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,34,0.0
109-109,1.0,1.0,0.0,1.0,0.0,1,0.0,47,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.84,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,31,0.0
110-110,1.0,0.84,0.0,1.0,0.0,1,0.0,363,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.95,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.64,313,0.0
111-111,1.0,0.63,0.0,1.0,0.0,1,0.0,136,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.49,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,118,0.0
112-112,1.0,0.35,0.285714285714,1.0,0.0,1,0.0,34,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.53,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,25,0.0
113-113,1.0,0.62,0.0,1.0,0.0,1,0.0,164,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.52,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,115,0.0
114-114,1.0,0.33,0.0,1.0,0.0,1,0.0,89,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.92,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,68,0.0
115-115,1.0,0.25,0.0,1.0,0.0,1,0.0,32,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.14,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,29,0.0
116-116,1.0,0.61,0.0,1.0,0.0,1,0.0,94,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.46,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,78,0.0
117-117,1.0,0.49,0.0,1.0,0.0,1,0.0,147,0.0,1.0,0.0,0.0,1.0,0.87,0.0,1.0,0.0,0.0,0.77,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.45,126,0.0
